Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776382132,80,,Aggregated,145.000000,117.100000,280,300,310,320,400,540,830,1200,6200,6400,6400,10255,7702,280,350.79367523162443,239.97640000015963,6422.056900002644,35.71711360312043
1776382133,80,,Aggregated,145.800000,118.000000,280,300,310,320,390,540,820,1200,6200,6400,6400,10408,7820,280,349.8897806687527,239.97640000015963,6422.056900002644,35.71867794004612
1776382134,80,,Aggregated,146.000000,117.200000,280,300,310,320,390,540,810,1200,6200,6400,6400,10551,7940,280,348.9563938205294,239.97640000015963,6422.056900002644,35.74495308501564
1776382135,80,,Aggregated,143.700000,115.800000,280,300,310,320,390,540,810,1200,6200,6400,6400,10705,8064,280,347.95884412894475,239.97640000015963,6422.056900002644,35.759271368519386
1776382136,80,,Aggregated,143.900000,115.500000,280,300,310,320,380,530,800,1200,6200,6400,6400,10864,8193,280,346.9288082382493,239.97640000015963,6422.056900002644,35.77604933726068
1776382137,80,,Aggregated,146.200000,118.100000,280,300,310,320,380,530,790,1200,6200,6400,6400,11015,8316,280,345.99343980030216,239.97640000015963,6422.056900002644,35.7927371765774
1776382138,80,,Aggregated,147.000000,118.000000,280,300,310,320,380,530,780,1200,6200,6400,6400,11164,8436,280,345.11640972772835,239.97640000015963,6422.056900002644,35.805446076675025
1776382139,80,,Aggregated,147.600000,118.900000,280,300,310,320,380,530,770,1200,6200,6400,6400,11288,8534,280,344.72656760279466,239.97640000015963,6422.056900002644,35.81130403968817
1776382140,80,,Aggregated,147.700000,119.200000,280,300,310,320,390,530,770,1200,6200,6400,6400,11435,8650,280,344.61905453435025,239.97640000015963,6422.056900002644,35.81766506340183
1776382141,80,,Aggregated,148.300000,119.200000,280,300,310,320,380,530,760,1200,6200,6400,6400,11591,8773,280,343.8532952635871,239.97640000015963,6422.056900002644,35.82400138038133
1776382142,80,,Aggregated,147.800000,119.000000,280,300,310,320,380,530,750,1200,6200,6400,6400,11735,8889,280,343.3157824201274,239.97640000015963,6422.056900002644,35.83536429484448
